Date,Balance
1671029363045,3017.2559
1671029390006,3017.2559
1671029403977,3017.2559
1671029403989,3017.2253
1671029422807,3017.2253
1671031206317,3017.2253
1671031208603,3017.2253
1671031210308,3017.2253
1671032826204,3017.2253
1671032826726,3017.2253
1671032827866,3017.2253
1671032828905,3017.2253
1671032829854,3017.2253
1671032831174,3017.2253
1671032832014,3017.2253
1671032833320,3017.2253
1671032932503,3017.2253
1671032932510,3017.2253
1671032932539,3017.2253
1671032932548,3017.2253
1671032932693,3017.2253
1671032932695,3017.2253
1671032934632,3017.2253
1671032960044,3017.2253
1671032961323,3017.2253
1671032972042,3017.2253
1671032972072,3017.0125
1671032978124,3017.0125
1671033600273,3017.0073
1671033600960,3018.664
1671033807463,3018.664
1671033810692,3018.664
1671033811940,3018.664
1671033812747,3018.664
1671033812751,3018.5344
1671033812905,3018.5344
1671033820164,3018.5344
1671033821028,3018.5344
1671033821891,3018.5344
1671033822640,3018.5344
1671033915261,3018.5403
1671033919470,3018.5403
1671033925318,3019.3486
1671033933385,3019.4893
1671033933761,3020.239
1671035458986,3020.239
1671035460432,3020.239
1671035481111,3020.239
1671035481996,3020.239
1671035565824,3020.239
1671035566401,3020.239
1671035577445,3020.239
1671035578389,3020.239
1671035589435,3020.239
1671035590171,3020.239
1671035592876,3020.239
1671035595568,3020.239
1671035612797,3020.239
1671035613235,3020.239
1671035624694,3020.239
1671035625290,3020.239
1671035635435,3020.239
1671035635841,3020.239
1671035653487,3020.239
1671035654371,3020.239
1671035684787,3020.239
1671035685267,3020.239
1671035732829,3020.239
1671035734209,3020.239
1671035744440,3020.239
1671035744903,3020.239
1671035762720,3020.239
1671035763430,3020.239
1671035785419,3020.239
1671035786118,3020.239
1671035906559,3020.239
1671035908346,3020.239
1671035922230,3020.239
1671035922550,3020.239
1671035968886,3020.239
1671035969881,3020.239
1671035980089,3020.239
1671035980544,3020.239
1671035991927,3020.239
1671035992363,3020.239
1671036004539,3020.239
1671036005087,3020.239
1671036535768,3020.239
1671036535776,3020.1748
1671036539876,3020.1748
1671047628943,3019.9814
1671047652680,3019.9814
1671047653391,3019.9814
1671047664198,3019.9814
1671047664927,3019.9814
1671047676258,3019.9814
1671047677141,3019.9814
1671047711550,3019.9814
1671047712109,3019.9814
1671047756761,3019.9814
1671047757665,3019.9814
1671047766064,3019.9814
1671047777883,3019.9814
1671047816154,3019.9814
1671047816158,3019.6753
1671047821321,3019.6753
1671047822683,3019.6753
1671048294306,3019.6753
1671048294554,3019.6753
1671048297018,3019.6753
1671048297724,3019.6753
1671048415837,3019.6753
1671048415962,3019.6753
1671048417305,3021.5203
1671055546236,3021.5203
1671055549664,3021.5203
1671062400218,3021.5051
1671062403636,3021.5051
1671062403828,3021.5051
1671062403941,3021.4785
1671068771155,3021.4785
1671068771974,3021.4785
1671068771978,3021.216
1671068794298,3021.216
1671068795465,3021.216
1671071636111,3021.216
1671071636787,3021.216
1671071638022,3021.216
1671071657466,3021.216
1671071658219,3021.216
1671071667473,3021.216
1671071668212,3021.216
1671071670056,3021.216
1671071670067,3022.2317
1671071672106,3022.2317
1671071672676,3022.2317
1671071851959,3022.2317
1671071852493,3022.2317
1671071853568,3022.2317
1671071863199,3022.2317
1671071863973,3022.2317
1671071884440,3022.2317
1671071885125,3022.2317
1671071921585,3022.2317
1671071921587,3022.634
1671071934818,3022.634
1671071935727,3022.634
1671077003745,3022.634
1671077008947,3022.634
1671077009891,3022.634
1671077037278,3022.634
1671077037281,3023.975
1671077038123,3023.975
1671080907171,3023.975
1671080912000,3023.975
1671091202131,3023.975
1671091203305,3023.8994
1671116666857,3023.8994
1671116701028,3023.8994
1671116712621,3023.8994
1671116713328,3023.8994
1671116728590,3023.8994
1671116728978,3023.8994
1671116739474,3023.8994
1671116740225,3023.8994
1671116801458,3023.8994
1671116801941,3023.8994
1671116812241,3023.8994
1671116812996,3023.8994
1671117225980,3023.8994
1671117225989,3023.606
1671117245470,3023.606
1671117246609,3023.606
1671117247755,3023.606
1671117248681,3023.606
1671117391660,3023.606
1671117391705,3023.606
1671117391911,3023.606
1671117392069,3023.606
1671117395005,3023.606
1671117396107,3023.606
1671117397324,3023.606
1671117398646,3023.606
1671117901487,3023.606
1671117901518,3023.606
1671117901571,3023.606
1671117901638,3023.606
1671117906252,3023.606
1671117907410,3023.606
1671117908459,3023.606
1671117909723,3023.606
1671120000336,3023.606
1671120003363,3023.7048
1671120003483,3023.7346
1671263730463,3216.3452
1671287613563,3216.052
1671287754126,3216.052
1671287754128,3216.052
1671287754134,3216.052
1671287754325,3216.052
1671287756592,3216.052
1671287757753,3216.052
1671287759035,3216.052
1671292800159,3216.052
1671292802441,3215.9
1671292803356,3215.7634
1671321601542,3215.7634
1671321603260,3215.6274
1671321603279,3215.4744
1671350400392,3215.4744
1671350402987,3215.3967
1671350403015,3215.3928
1671379200198,3215.3928
1671379202287,3215.5303
1671379202719,3215.523
1671408001012,3215.523
1671408002247,3215.5386
1671408003000,3215.4387
1671436802464,3215.4387
1671436802734,3215.501
1671436802743,3215.4497
1671465602799,3215.4497
1671465602889,3215.4067
1671465603072,3215.3777
1671494400237,3215.3777
1671494403509,3215.2397
1671494403546,3215.0894
1671569581537,3214.5503
1671569581600,3214.5503
1671569581651,3214.5503
1671569584612,3214.5503
1671569585552,3214.5503
1671580800622,3401.7893
1671580803601,3401.6958
1671580803619,3401.6716
1671609602141,3401.6716
1671609603457,3401.5305
1671609603495,3401.3745
1671638400257,3401.3745
1671638403488,3401.2175
1671638403533,3401.076
1671666392448,3594.964
1671667201141,3594.964
1671667203491,3594.823
1671667203512,3594.6663
1671696001986,3594.6663
1671696003506,3594.5098
1671696003556,3594.4072
1671724801277,3594.4072
1671724801903,3594.3127
1671724802550,3594.173
1671744736370,3594.173
1671744737269,3594.173
1671744938929,3594.173
1671744939596,3594.173
1671744994556,3594.173
1671744994978,3594.173
1671745055737,3594.173
1671745056310,3594.173
1671745154845,3594.173
1671745156776,3594.173
1671745169701,3594.173
1671745170303,3594.173
1671745584908,3594.173
1671745584911,3593.8174
1671745587341,3593.8174
1671745588198,3593.8174
1671745589279,3593.8174
1671745590601,3593.8174
1671745591491,3593.8174
1671753600841,3593.8174
1671753603039,3593.676
1671753603103,3593.6367
1671753603111,3593.4795
1671782401354,3593.4795
1671782403232,3593.4417
1671782403274,3593.2842
1671782403427,3593.1426
1671797761751,3593.1426
1671797763198,3593.1426
1671797867463,3593.1426
1671797869858,3593.1426
1671797921988,3593.1426
1671797922360,3593.1426
1671798021266,3593.1426
1671798021824,3593.1426
1671798652918,3593.1426
1671798652923,3592.9768
